recursos_familia;educ_padres;educ_propia;ambicion;trabajo_duro;contactos_personales;contactos_politicos;coimas;raza_etnia;religion
5;5;1;2;1;3;5;3;5;5
2;2;2;3;1;3;5;4;4;3
4;4;2;3;2;3;5;3;4;2
5;3;2;2;1;3;5;4;4;5
3;2;1;2;1;3;5;4;5;5
2;2;2;2;2;2;5;5;5;4
5;2;2;1;1;4;4;5;5;5
5;3;1;1;1;5;4;5;5;5
3;2;1;1;1;4;5;5;5;5
5;5;1;1;1;5;5;5;5;5
5;3;1;1;1;5;5;5;5;5
5;5;2;2;2;4;5;5;5;5
3;2;2;1;2;4;5;5;5;2
4;4;2;2;2;4;4;4;4;4
1;4;2;4;2;4;4;4;4;4
4;4;1;2;2;4;4;4;4;4
3;3;3;3;3;4;5;5;5;2
5;5;1;4;1;4;5;4;4;4
5;5;1;4;2;5;4;4;5;5
2;2;2;2;4;4;5;5;5;5
4;4;3;3;2;2;5;5;5;5
4;4;2;2;3;4;5;5;5;5
5;5;1;4;3;5;5;5;5;5
4;5;2;4;2;4;5;4;4;4
3;2;1;4;2;5;5;5;5;5
3;1;1;2;1;2;4;3;3;3
3;2;1;2;2;5;4;3;5;4
3;2;3;2;2;4;5;4;3;4
4;3;2;2;2;5;5;5;5;5
2;2;2;4;2;3;88;2;4;4
4;4;4;4;4;4;4;4;4;4
3;4;4;4;3;4;4;4;4;4
2;2;2;3;3;4;4;88;88;3
4;4;4;2;3;4;4;4;4;4
4;3;1;1;1;4;5;3;5;3
5;5;2;4;2;5;5;2;3;5
4;4;2;2;2;4;4;4;4;4
3;2;2;2;2;2;3;3;5;5
2;2;2;1;3;4;4;4;5;5
2;2;3;4;3;3;3;3;3;3
3;2;1;1;1;2;4;4;5;5
2;3;3;3;3;5;5;5;5;5
4;4;3;3;4;4;4;4;4;4
1;3;2;2;3;2;2;5;5;5
4;3;1;4;4;5;5;3;5;5
3;4;4;4;4;4;4;3;4;4
3;2;2;2;5;3;3;2;3;3
4;4;2;5;3;3;5;4;4;5
4;4;2;4;4;4;5;5;5;5
5;4;3;2;4;2;5;3;5;5
4;4;1;2;1;1;5;5;5;5
5;2;2;2;4;5;5;4;4;5
2;2;2;2;2;2;5;5;2;5
2;2;4;4;4;2;88;4;3;4
4;2;2;2;2;5;5;5;5;5
3;3;2;2;3;4;5;5;5;5
3;3;3;3;2;4;5;5;5;5
3;3;3;3;3;5;5;5;5;5
3;2;2;1;3;5;5;5;5;5
3;3;2;3;3;4;5;5;5;5
3;2;3;3;3;3;5;3;3;3
4;2;2;2;3;2;3;2;2;3
5;5;3;3;3;5;4;3;3;3
3;3;1;2;1;5;5;3;3;3
4;4;3;3;2;5;5;5;3;3
4;4;4;4;2;4;4;4;4;4
4;4;4;4;2;4;4;4;2;4
5;3;3;2;2;3;3;3;5;5
4;4;4;2;1;5;5;5;4;4
5;5;4;4;2;5;5;5;5;5
2;3;3;2;3;1;3;3;5;4
2;2;2;3;2;2;88;2;2;2
4;4;2;2;2;5;88;88;4;4
3;4;3;3;2;5;5;2;5;5
5;5;3;5;2;3;5;5;5;5
5;5;4;3;2;2;5;5;5;5
5;5;2;2;2;5;5;5;5;5
4;4;2;4;2;4;4;2;2;2
4;3;2;4;2;5;5;5;2;5
3;5;2;3;1;4;5;3;5;5
4;5;5;2;2;5;5;2;5;2
3;5;2;5;2;5;5;5;5;5
2;2;2;5;2;4;5;5;4;2
5;5;5;5;2;5;88;5;3;5
3;4;2;3;3;3;4;5;5;5
3;3;2;2;2;4;4;5;5;5
2;3;3;3;2;5;5;5;5;5
4;2;2;2;3;4;4;5;5;5
1;4;2;2;2;3;5;5;5;5
1;1;2;3;3;4;5;5;5;5
5;5;2;3;2;4;4;5;5;5
3;2;2;2;3;4;5;5;5;4
4;4;5;4;2;4;5;5;5;5
3;2;2;5;3;3;5;4;2;2
4;5;2;2;2;5;5;5;88;5
5;5;1;1;2;5;5;5;5;5
4;2;2;5;5;5;5;5;5;5
2;2;2;2;3;5;5;5;5;5
5;3;3;2;2;2;5;4;4;4
4;5;3;3;3;4;4;4;4;4
4;4;2;3;3;4;4;4;4;4
4;4;2;2;3;5;4;5;5;5
1;1;1;2;3;2;3;2;4;5
4;2;1;3;2;3;5;3;2;2
4;4;1;2;4;3;3;5;5;5
4;2;2;2;2;2;4;3;4;3
3;3;2;4;2;3;4;4;4;4
4;3;2;3;3;4;4;4;4;4
3;3;3;3;3;3;3;3;3;3
3;2;2;1;2;2;3;2;4;3
3;3;2;2;1;3;4;3;4;5
2;1;2;3;2;4;4;4;4;5
2;2;2;3;1;4;4;4;4;2
2;3;2;2;2;3;4;4;3;2
3;2;2;2;2;4;4;4;4;4
4;3;3;4;2;4;5;5;4;5
4;4;2;2;1;5;5;5;5;5
2;2;2;2;2;5;5;5;5;5
88;4;5;4;99;5;4;5;5;5
5;5;4;1;2;88;5;5;5;5
3;3;2;1;2;4;4;5;5;5
3;1;1;1;1;4;4;4;4;4
3;4;3;5;2;2;3;2;3;3
5;5;3;2;2;4;4;5;5;5
5;5;5;2;2;5;5;5;5;5
5;5;3;3;2;5;5;5;5;5
4;3;1;2;2;4;5;5;5;5
5;5;4;2;2;2;5;5;5;5
4;4;3;3;1;4;5;5;5;5
4;5;4;3;2;4;5;4;5;5
4;4;2;3;2;4;5;4;3;2
4;4;2;3;2;4;5;5;5;5
5;5;2;3;1;5;5;5;5;5
5;5;2;2;1;3;5;5;5;5
5;5;3;4;3;4;4;4;4;4
4;4;3;4;4;4;4;4;4;4
4;4;4;4;2;4;4;4;4;4
4;3;2;3;2;3;4;4;4;4
4;2;3;3;3;4;5;5;5;5
4;4;2;3;2;5;5;5;5;5
2;2;2;2;1;2;4;3;3;3
2;3;4;3;2;3;4;3;2;3
2;2;2;2;2;3;3;3;2;2
3;2;2;1;2;4;4;2;1;3
2;3;2;1;2;2;2;3;1;2
1;2;2;1;2;2;4;2;4;2
2;2;1;1;2;2;4;3;4;3
3;1;1;2;1;4;88;3;4;2
1;2;3;4;4;2;1;2;4;3
2;2;1;2;3;2;2;4;5;5
2;2;1;3;3;88;4;4;3;4
1;1;1;1;1;2;3;1;1;1
4;2;2;2;2;4;5;5;5;5
2;2;1;3;2;3;5;4;4;4
2;2;1;2;3;2;5;5;5;5
5;5;5;5;2;5;5;88;88;5
99;99;99;99;99;99;99;99;99;99
99;99;99;99;99;99;99;99;99;99
99;99;99;99;99;5;5;5;99;99
4;2;2;2;2;4;4;2;2;4
4;4;1;1;3;2;4;4;4;4
4;4;2;2;2;5;5;5;5;5
4;4;2;2;2;4;4;5;5;5
4;2;1;2;1;4;5;5;5;5
4;2;2;2;2;4;5;4;5;5
2;2;2;2;2;1;3;1;3;2
5;4;2;1;2;5;5;2;3;5
4;4;2;2;2;4;5;4;5;2
1;2;2;2;2;5;5;5;5;5
88;5;2;4;2;5;5;5;5;5
4;4;5;2;2;5;5;5;5;5
3;3;2;2;5;5;5;5;5;5
4;2;2;2;2;4;4;2;4;2
2;2;2;4;2;2;3;2;4;3
4;4;4;2;2;5;4;5;5;2
2;2;2;1;1;3;4;5;5;5
4;2;2;2;2;4;4;4;4;4
2;2;2;2;2;4;4;4;4;4
4;2;3;2;1;2;4;5;5;5
3;3;2;4;3;3;5;2;2;3
2;2;4;4;2;2;4;2;4;5
2;2;2;2;4;88;88;2;3;2
1;2;2;2;2;5;5;5;5;5
2;2;2;2;2;5;88;3;2;2
3;2;1;3;1;4;5;5;5;3
4;2;2;2;3;5;5;5;5;5
3;2;1;1;1;5;5;5;5;5
5;4;2;4;2;5;5;5;5;5
4;2;2;2;1;5;5;3;3;4
4;1;2;3;1;4;5;5;5;5
1;5;2;1;1;4;5;1;5;5
5;3;4;3;2;2;5;3;5;5
4;1;2;1;1;5;5;2;4;5
3;1;1;1;1;5;5;3;2;5
4;2;2;2;2;3;5;5;5;5
3;4;1;2;1;4;5;5;5;5
2;2;2;1;2;3;4;5;5;5
1;1;1;1;3;1;2;5;5;5
4;2;2;1;2;3;4;5;5;5
4;2;1;2;2;4;4;4;4;4
4;4;2;2;2;4;4;4;4;4
4;3;1;2;2;3;3;5;5;3
5;3;2;4;2;2;2;2;5;4
4;4;1;2;2;4;4;5;5;5
3;3;2;2;4;3;3;5;3;2
5;4;2;5;2;3;3;4;4;4
1;3;1;2;2;4;4;4;5;4
3;4;1;2;3;4;5;5;5;5
4;3;2;3;3;4;5;5;5;5
5;5;1;1;1;5;5;5;5;5
4;4;2;2;2;3;4;4;5;5
4;4;1;3;3;5;5;5;5;5
2;3;2;3;1;2;4;3;4;3
3;3;2;2;2;3;3;4;5;3
3;2;2;2;2;4;3;5;5;5
3;3;3;4;3;3;3;4;3;4
3;3;3;3;2;4;5;5;5;5
5;4;2;2;3;5;5;5;5;5
2;2;2;2;2;5;3;4;5;4
2;2;2;2;1;5;5;4;4;4
1;1;1;2;2;4;5;2;2;5
2;2;2;2;2;5;5;5;5;5
4;5;2;5;1;5;4;5;4;4
5;5;5;5;5;5;5;5;5;5
1;1;4;88;5;4;3;2;4;5
3;3;2;1;3;4;5;5;5;5
3;3;3;3;3;5;5;4;4;4
3;3;3;3;3;3;3;5;5;5
3;2;2;2;3;4;5;5;5;5
3;3;3;3;3;4;5;4;4;4
2;2;2;1;3;3;5;5;5;5
5;2;2;2;2;2;4;3;3;3
4;4;3;5;4;2;4;4;4;5
3;3;3;3;3;3;3;3;4;3
3;3;3;3;3;3;3;3;3;3
2;3;2;2;4;4;4;4;4;4
4;4;3;2;2;4;5;5;5;5
4;4;2;2;2;5;5;5;5;5
3;4;3;4;3;3;4;3;4;3
4;3;2;2;2;4;4;5;5;5
3;3;3;2;2;4;4;4;4;3
5;5;5;2;2;4;4;5;5;5
5;5;3;2;2;5;5;4;5;5
5;5;2;2;2;4;5;5;5;5
4;4;3;3;2;3;5;5;5;5
4;4;2;2;2;4;4;2;4;4
4;4;2;2;1;3;5;5;5;5
5;5;2;2;2;3;4;5;5;5
2;2;3;2;2;2;3;2;3;4
2;2;2;1;2;4;4;3;4;4
2;2;2;1;2;2;2;2;5;4
2;2;2;1;2;2;2;4;5;4
88;2;2;3;2;4;5;5;5;5
1;1;1;1;1;5;5;5;5;1
4;4;1;2;4;5;5;5;5;5
5;4;3;1;1;4;5;5;3;5
5;2;2;1;1;5;5;1;2;4
3;2;1;2;2;4;5;2;4;4
4;3;2;3;4;3;3;3;3;3
4;2;3;2;3;3;3;4;5;5
4;2;1;2;1;4;4;2;5;5
5;2;1;2;3;2;5;5;5;5
5;5;2;2;2;4;88;88;5;5
4;4;4;3;3;3;88;88;3;4
3;3;3;3;3;3;88;4;2;4
2;2;2;2;2;2;2;2;5;1
5;4;2;2;2;2;2;2;2;3
2;2;1;2;2;1;5;3;4;3
5;5;2;2;2;2;4;5;5;3
2;2;2;2;2;2;5;3;5;5
3;2;2;2;3;3;5;5;5;3
2;2;2;2;2;2;5;5;5;5
3;3;3;3;3;3;4;4;5;5
5;5;2;2;3;2;5;4;4;4
2;2;2;2;2;3;3;3;3;4
5;5;2;2;3;3;5;5;5;5
3;3;88;3;88;3;88;88;5;88
3;3;2;3;3;3;4;5;5;5
5;4;2;3;3;3;5;5;5;5
5;5;2;2;2;2;3;5;5;5
2;3;3;4;2;2;88;5;5;4
2;3;3;2;3;3;3;4;3;3
2;2;3;3;3;3;5;4;5;5
4;2;2;2;88;5;5;5;5;5
4;4;1;2;3;2;88;3;3;4
1;1;1;3;3;4;5;4;5;4
2;2;1;3;2;4;5;5;5;5
2;2;1;3;1;5;5;5;5;5
2;2;1;3;2;4;5;5;5;5
2;2;1;3;2;4;4;3;5;5
5;4;2;4;3;4;5;5;5;5
4;4;3;3;4;4;4;4;5;4
5;5;3;4;3;5;5;5;5;5
4;4;2;2;2;4;2;4;4;4
88;3;1;4;5;4;4;4;4;99
3;3;2;2;3;2;88;3;4;3
4;3;3;2;2;2;5;5;5;5
2;1;2;4;3;4;4;4;4;5
5;2;2;4;2;4;5;5;4;5
3;2;2;2;2;4;3;3;4;1
2;2;2;2;2;2;5;5;5;5
4;4;1;1;1;4;4;4;4;4
3;3;3;2;1;2;5;3;4;4
3;3;3;2;2;4;4;4;4;4
4;3;2;3;3;4;5;5;3;4
3;3;3;4;4;5;5;4;4;4
4;3;3;5;2;2;5;4;4;4
4;3;2;2;2;4;4;4;4;4
4;3;3;3;3;4;4;4;4;4
4;4;4;4;4;4;4;4;4;4
4;4;4;4;4;4;4;4;4;4
4;3;4;4;4;4;2;3;2;3
3;4;3;3;2;4;4;4;4;4
3;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5
5;5;88;5;5;5;88;5;88;88
4;4;2;3;2;5;5;5;5;5
4;1;2;2;2;4;5;5;5;5
2;2;1;2;2;2;4;5;5;5
3;3;2;2;3;2;4;4;4;4
3;4;4;4;4;3;3;3;2;3
2;3;4;2;1;2;2;1;2;2
2;4;3;3;3;3;99;3;4;3
3;3;2;3;4;1;3;4;3;1
5;5;2;3;1;4;5;5;5;5
4;4;1;3;3;4;4;4;4;4
4;4;4;4;5;88;88;88;88;88
4;5;1;4;3;4;5;2;5;4
1;1;1;2;3;1;4;3;3;4
3;2;2;2;2;4;4;5;5;5
2;2;2;4;4;1;2;4;4;4
4;4;4;2;2;4;5;2;4;2
5;4;2;2;2;4;5;5;2;5
4;4;2;2;2;2;5;5;5;5
5;2;2;3;2;5;5;5;5;5
1;1;2;3;2;1;1;3;5;5
88;5;4;1;1;88;5;88;5;4
5;4;4;1;1;5;88;5;5;5
4;4;4;1;1;5;99;5;5;5
5;5;4;1;1;5;5;5;5;5
4;4;4;1;1;5;5;5;5;5
4;5;3;1;1;5;5;5;5;5
5;5;3;3;3;5;5;5;5;5
5;5;2;2;2;5;5;5;5;5
88;88;88;88;88;88;88;88;88;88
5;3;3;3;3;5;5;5;5;5
5;3;3;4;4;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5
4;3;3;3;3;5;5;5;5;5
2;3;3;3;3;5;5;5;5;5
5;3;3;4;3;5;5;5;5;5
4;4;2;2;3;5;5;5;5;5
5;3;3;3;3;5;5;5;5;5
5;4;3;5;3;5;5;5;5;5
5;5;3;5;3;5;5;5;88;88
5;3;3;5;3;5;5;5;5;5
5;5;5;5;3;5;5;5;5;5
5;5;3;3;3;5;5;5;5;5
5;3;3;4;4;5;5;5;5;5
5;4;4;2;2;5;5;5;5;5
5;5;4;5;2;5;5;5;5;5
4;4;2;2;2;5;5;5;5;5
5;5;2;1;1;5;5;5;5;5
2;3;3;3;2;5;5;5;5;5
5;5;2;2;3;5;5;5;3;5
4;4;2;2;2;1;5;5;5;2
4;4;3;2;2;4;5;5;5;4
5;5;2;3;1;5;5;5;5;4
4;4;1;3;1;3;5;3;4;5
4;4;1;1;1;3;5;4;4;5
5;5;1;2;1;4;5;5;5;5
4;2;2;2;2;4;4;4;4;4
3;2;2;2;2;5;5;5;5;5
2;2;2;4;3;4;4;4;4;4
2;3;1;2;1;3;4;3;4;3
3;3;1;1;3;2;2;2;2;2
5;5;2;2;2;4;5;5;5;5
5;3;1;4;3;5;5;5;5;5
5;5;2;4;2;5;5;5;5;5
5;5;5;5;2;5;5;5;5;5
4;3;2;2;2;3;5;3;4;4
4;3;1;2;3;5;5;5;5;5
3;3;3;3;3;3;3;3;3;3
3;3;3;2;2;2;3;4;3;3
3;3;3;3;3;3;4;3;3;3
3;3;3;3;3;3;3;3;3;3
2;2;2;2;3;3;2;4;4;4
2;2;2;3;3;2;4;3;2;4
3;3;3;3;3;3;3;3;3;2
3;3;3;3;3;3;3;3;3;4
3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;2;2;3;4;3
3;3;3;3;3;4;4;4;4;4
3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;3;3;3;3;3
2;3;3;1;3;88;5;4;4;4
3;3;3;3;3;3;4;4;5;5
3;3;3;3;3;4;5;5;5;5
3;3;3;2;2;3;5;5;5;5
2;3;2;2;2;4;5;5;5;5
2;3;2;2;2;3;5;5;5;5
2;2;2;2;2;3;5;5;5;88
4;2;1;3;3;4;5;5;5;5
3;3;3;2;2;4;5;5;5;5
3;1;2;4;2;4;5;5;5;5
3;2;2;3;3;4;5;5;5;5
3;1;2;3;4;5;5;5;5;5
99;99;99;99;99;99;99;99;99;99
5;2;2;3;3;3;5;5;5;5
5;5;88;88;88;88;5;5;88;5
5;3;3;3;3;5;5;5;5;5
5;2;2;2;2;88;5;5;5;5
88;88;88;88;4;88;88;5;5;5
5;5;2;1;1;5;5;5;5;5
4;4;2;2;3;2;88;88;5;88
3;3;3;3;3;3;4;5;5;5
5;2;1;3;2;2;5;5;5;5
3;3;3;3;5;2;5;4;4;4
3;3;3;3;3;3;5;5;5;5
5;5;2;2;2;5;5;5;5;5
3;3;1;3;3;5;88;5;4;5
4;4;1;2;4;2;5;5;5;5
2;2;1;1;2;2;2;2;2;3
3;2;1;2;1;4;4;3;3;2
2;1;1;1;1;4;5;5;5;5
4;2;3;2;3;4;4;2;3;3
4;2;3;3;3;5;5;5;4;5
4;3;2;5;5;4;5;5;5;5
4;2;2;3;3;3;5;5;4;5
4;5;4;5;1;4;5;5;5;5
5;3;2;5;2;5;5;5;5;5
3;2;4;1;3;5;2;3;5;4
5;5;3;2;1;4;4;5;5;5
5;5;3;3;2;5;5;5;5;5
4;2;2;2;2;4;5;5;5;5
5;5;3;3;2;4;5;5;5;5
4;2;2;2;2;3;3;3;4;4
3;2;2;2;3;4;5;5;5;5
2;2;3;2;1;3;3;3;5;5
